"GEN","MGIDI","composite_observed"
"SP189",0.56159428188917,0.117616905547166
"SP055",0.828267356831383,0.410566485604285
"SP007",0.977034501889568,1.04564607298498
"SP067",1.04616008768655,0.657767902975065
"SP183",1.16446928865792,0.607557582184422
"SP091",1.1823267231641,0.860269982404423
"SP141",1.22415892069169,0.743594499126219
"SP129",1.25023039358202,0.8121930671651
"SP299",1.29029378167046,1.21534862502378
"SP139",1.37647469076393,0.801349143289095
"SP159",1.43728177565107,0.559848662572968
"SP137",1.5617152505545,0.200065449536747
"SP068",1.58840311105273,0.593150234211169
"SP080",1.62750938903111,0.232618168721855
"SP248",1.67767540324799,0.538287117562407
"SP221",1.70503238920677,1.13822223969361
"SP301",1.71397047024461,0.53564381590162
"SP031",1.76097641974089,0.462336447955156
"SP282",1.77149874970382,0.138807684571057
"SP214",1.7776309032018,0.427565588757656
"SP303",1.78060252722714,0.509063289897588
"SP180",1.79188920556739,-0.28557561497375
"SP085",1.80535708129823,0.615215635534042
"SP130",1.83966272025178,0.550719935197936
"SP270",1.85886960095666,0.397601617769114
"SP011",1.87633586007543,-0.377096786480195
"SP192",1.91478848562998,-0.372961797422582
"SP287",1.93973613870051,0.513318344089966
"SP251",1.95203403381347,0.589720585946219
"SP172",1.98526332047088,0.691661934671629
"SP239",2.00021086684117,0.837514027690784
"SP305",2.01052521946031,0.527475471298044
"SP044",2.01188295489887,0.281341659620264
"SP065",2.01272551307623,0.0790801497180325
"SP268",2.0134022506827,0.353008507066172
"SP122",2.02135042628602,-0.00906876452036781
"SP093",2.08454236843756,-0.0186288682670566
"SP099",2.11525240826473,-0.164154382776087
"SP094",2.11616188569132,-0.0333985367593863
"SP304",2.15672308738204,0.199750721728719
"SP281",2.16316458348745,0.74037779512477
"SP147",2.16719417904698,0.561423315141394
"SP191",2.18119181306965,0.146975033307335
"SP132",2.18691918055011,0.506636311643027
"SP271",2.19013955817196,0.166091343503762
"SP285",2.20474137568496,0.0286843102787573
"SP275",2.20805628235067,0.624634034171988
"SP152",2.21767549183802,0.670518570927728
"SP046",2.23228775903795,0.0328079793481598
"SP234",2.23594747398628,-0.0969019192623957
"SP095",2.25696162749189,0.703534016905994
"SP100",2.25891505275532,0.44808884881278
"SP212",2.26291782459876,-0.207008304679783
"SP291",2.26349684248441,0.173994249901102
"SP071",2.26533354758246,0.471276702639327
"SP003",2.28018446943774,-0.172342098505985
"SP098",2.30246773866254,0.0447412296283745
"SP286",2.33365699555214,-0.00504075361516428
"SP070",2.3430623887819,0.137900240879442
"SP032",2.34770665539618,1.06823638347129
"SP040",2.35557293719962,0.195582604044942
"SP211",2.35969424339675,0.429744864734486
"SP265",2.36008957416467,-0.163098498864381
"SP045",2.36214201287525,0.145862737025696
"SP066",2.36314200137994,1.07374975922716
"SP102",2.407934670017,0.211633394569576
"SP078",2.43751514134231,0.0895270610279868
"SP002",2.45314520053991,0.0164287526357668
"SP117",2.45858681677157,0.102683486961064
"SP088",2.46452312918216,0.252896339422643
"SP201",2.46505558495401,-0.163647462378949
"SP136",2.46983067828118,-0.313347999480534
"SP037",2.47107530801207,-0.123820817199579
"SP218",2.52201077659071,0.545502663321809
"SP308",2.52267227439235,0.0241667741141247
"SP309",2.52532826518845,0.734979789876411
"SP232",2.53979864185214,0.237592195186784
"SP296",2.55331867038563,0.120533725757919
"SP041",2.56681583804826,0.150801221176134
"SP121",2.5669014973331,-0.276521167710936
"SP188",2.57903334311815,-0.330958135759372
"SP018",2.58174534932619,0.338103091554539
"SP307",2.6099624471041,-0.538480859718338
"SP179",2.61005746624579,0.964042500894536
"SP097",2.64140089242785,0.0136585149246652
"SP171",2.64529680993606,1.03154342653606
"SP023",2.65742060228439,0.614660220379842
"SP193",2.66153244923801,0.222587710265939
"SP238",2.66365867530737,0.549415644283185
"SP297",2.67819048814656,0.109451108291394
"SP128",2.69086001570559,-0.629079838712311
"SP253",2.69901180211413,-0.487692711307715
"SP167",2.71581165081189,0.12478133049811
"SP174",2.71909214533752,0.0538677206688188
"SP154",2.74328147938522,0.139161416899212
"SP166",2.75408103776013,0.349286404008377
"SP020",2.75797375259909,-0.0273838534930747
"SP081",2.75804018451067,0.19755842140488
"SP039",2.75808115109155,0.078263994602677
"SP146",2.76056864559152,0.368762279285069
"SP025",2.76554000609649,0.289243307641953
"SP261",2.77377455666745,0.417204028528419
"SP014",2.79030698137842,0.204860803454944
"SP252",2.80777570736819,-0.18559409205516
"SP298",2.81602916965252,0.0239834077319127
"SP196",2.841366277652,0.503198846387365
"SP135",2.84472736368411,-0.348381730442876
"SP016",2.84534346809899,0.171471149689328
"SP077",2.84535245198061,-0.223745985084479
"SP264",2.84606428048835,0.186906381705915
"SP160",2.8476394991972,0.192333920780414
"SP225",2.84775828556567,-0.097693808952847
"SP005",2.84989041179222,-0.403184958366461
"SP194",2.8554202352117,0.419020308368769
"SP143",2.8662050245621,0.268675079294809
"SP162",2.87010299918168,0.0323807074647688
"SP134",2.87696986088513,-0.0758626656157604
"SP294",2.89814442752552,-0.458171191910326
"SP069",2.91400627480684,-0.284814336787846
"SP292",2.91496154863071,-0.37239022040704
"SP220",2.92200634757392,-0.301328291120492
"SP109",2.94673822899546,0.0859129203135987
"SP241",2.96096132894447,0.639741452759426
"SP315",2.99040258885893,-0.725712365455049
"SP235",2.99321413212764,-0.133128397085995
"SP050",2.9989291091546,-0.185663177586187
"SP161",3.0005536193416,-0.238540008440782
"SP288",3.00348843955048,0.258540883542036
"SP243",3.01792988199241,-0.012480993909334
"SP138",3.03989678931115,0.57796763942271
"SP001",3.0434157981688,0.616919398423117
"SP190",3.04852092371104,-0.203140487320253
"SP056",3.06747300325652,0.581510501771765
"SP169",3.08897566522885,0.161001936241895
"SP177",3.09984454037889,0.228613812385643
"SP314",3.11163703531418,0.251926516355108
"SP107",3.11559380337797,0.113028611954529
"SP280",3.13732565497343,0.393449895607721
"SP142",3.13867933707659,0.347492120146545
"SP057",3.14469697810043,-0.141326357629706
"SP260",3.15336163476559,0.0437367931074335
"SP012",3.15763844440933,-0.696739680936502
"SP114",3.15842752420629,0.288651831215072
"SP250",3.15997400498813,-0.0620382956182158
"SP126",3.17959204329735,-0.386261787451345
"SP200",3.18295083244643,0.298713259449695
"SP178",3.18674333982765,-0.476845237541132
"SP061",3.20348545856907,-0.0683604308688987
"SP207",3.21064598280645,-0.0284818843472753
"SP290",3.2146502690021,-0.722607846471903
"SP219",3.2339802511974,-0.112358600440984
"SP229",3.24604847903354,-0.191759605967978
"SP060",3.2476934791546,-0.215820304712545
"SP269",3.25868158043449,-0.335035309969142
"SP042",3.28191798443383,0.174871281158109
"SP203",3.28473132208183,-0.125785711927041
"SP204",3.28595113246838,0.0822671369167678
"SP052",3.29213767658158,-0.290681895994745
"SP059",3.29748486446866,-0.00499934010060009
"SP224",3.29957926517393,0.148821775414283
"SP043",3.30029527691657,-0.0435659247067045
"SP230",3.30529490351607,-0.94328649786599
"SP027",3.30757310421435,0.198005617540103
"SP051",3.32012573734022,0.220876603930463
"SP084",3.32223665693277,-0.477998823748807
"SP036",3.32473242718195,0.134706966698537
"SP197",3.3326834166018,0.278978951966492
"SP176",3.34375023820972,-0.10275009439567
"SP208",3.35417760706541,0.546235203814275
"SP187",3.3558478088768,-0.2038798799572
"SP022",3.35776589981715,0.383649996655461
"SP262",3.37387601942365,0.169277304652204
"SP118",3.37814661452025,0.49762481700687
"SP222",3.38207170437153,0.0736521258478747
"SP054",3.39546597627663,0.00892156801920314
"SP030",3.3985487719005,0.0930228641221739
"SP064",3.40222869879789,-0.211915433814289
"SP157",3.41761215217173,-0.0991375889171945
"SP038",3.4179039581491,-0.519091126246351
"SP063",3.41854161034987,0.332636080768387
"SP266",3.42642209378334,0.468445471882276
"SP165",3.43287102087769,0.281822981683796
"SP033",3.44769523237916,-0.0998513576367562
"SP075",3.4821222850237,-0.353189035397939
"SP150",3.49343115329355,-0.366284634502917
"SP283",3.50143089064768,0.440077286677923
"SP163",3.51179885679769,-0.451599842034621
"SP289",3.52193358352422,0.202982102556468
"SP006",3.52388854628956,-0.439887801804786
"SP186",3.53383582621704,-0.464183079484339
"SP082",3.57233062799015,-0.140140892377147
"SP090",3.58217591137798,-0.263397116892171
"SP034",3.58732979007804,0.0376718667997262
"SP277",3.60128859021141,-0.117871539398775
"SP079",3.60231888961911,-0.285285020568604
"SP205",3.60444284236999,-0.403271517239465
"SP149",3.6147013291476,0.325539405274302
"SP105",3.62259880324525,-0.546730112713479
"SP209",3.6230369461675,0.0162135271035992
"SP227",3.63907486059921,0.192442296163092
"SP216",3.64051591395982,0.0549625058849105
"SP213",3.64219928802781,-0.14429593297137
"SP049",3.64762211470221,-0.587363356972656
"SP009",3.65216420895565,-0.430113420245676
"SP115",3.66333969994632,0.688573322550617
"SP144",3.66421799554897,0.867045191337354
"SP108",3.66466000162914,-0.474338593492875
"SP272",3.66484076127886,0.154403765130928
"SP210",3.66743917320995,0.208917025964302
"SP086",3.67001207642992,-0.738596456991079
"SP300",3.68409072954481,0.30171953286726
"SP029",3.7045591465814,-0.0699722485099535
"SP231",3.71152461204086,-0.565531080625721
"SP124",3.71929859214503,-0.179510275964753
"SP140",3.73627541488835,0.190282069311766
"SP125",3.7382490415456,-0.359814963462293
"SP254",3.74333828219219,0.269318548407839
"SP048",3.74885917326097,0.305704199581008
"SP074",3.75011150991718,-1.06324855587562
"SP284",3.78275107423575,-0.456081500812558
"SP062",3.78423430685988,-0.0887331300157324
"SP311",3.81545951241714,-0.0423886983392197
"SP313",3.81856808094868,0.444512184289963
