"GEN","Composite_GEBV","Composite_Observed","MGIDI","Composite_TrueBV"
"SP001",0.891352774442004,0.616919398423117,3.0434157981688,0.6114835941256
"SP002",-0.0219742017440281,0.0164287526357668,2.45314520053991,0.0225919605794325
"SP003",-0.214944960083881,-0.172342098505985,2.28018446943774,0.147842337161894
"SP004",-1.39693490308522,-0.616817481759892,5.03800829675226,-0.701544611214026
"SP005",0.0272343160973296,-0.403184958366461,2.84989041179222,-0.448323277531855
"SP006",0.245863032587947,-0.439887801804786,3.52388854628956,-0.259496808224939
"SP007",0.85143641961877,1.04564607298498,0.977034501889568,0.637364218589614
"SP008",-0.829682125956512,0.257594006279921,4.91569543700655,-0.111856111573403
"SP009",-0.131035925359794,-0.430113420245676,3.65216420895565,-0.337684432475199
"SP010",0.2845338574771,-0.00359977894860848,4.06105290692938,0.411983324154865
"SP011",0.234949718775583,-0.377096786480195,1.87633586007543,0.0131816166912334
"SP012",0.0021807483972181,-0.696739680936502,3.15763844440933,0.0352880373481974
"SP013",-0.0634243521625629,-0.319325133226649,4.20452312306575,-0.19619899247103
"SP014",0.566993561586713,0.204860803454944,2.79030698137842,0.164081120173868
"SP015",0.442822545451754,-0.227604929449439,4.62509839277622,-0.0519556314274563
"SP016",0.576132247511775,0.171471149689328,2.84534346809899,-0.110829880310027
"SP017",-1.14021049865802,-0.233178606553289,4.45127909651073,-0.64036423756394
"SP018",-0.157920289086732,0.338103091554539,2.58174534932619,0.252804247763289
"SP019",-0.2910895336027,-0.414235086468611,4.04178932860457,-0.605421475459853
"SP020",0.00560342022110125,-0.0273838534930747,2.75797375259909,-0.218151905232775
"SP021",0.627295018908055,0.207970267864289,3.97251427211738,0.225820380392903
"SP022",-0.431704698998651,0.383649996655461,3.35776589981715,-0.160916328680768
"SP023",0.791916965932044,0.614660220379842,2.65742060228439,0.406842948062165
"SP024",-0.0934629012913286,-0.0465851877873791,5.27550362828534,-0.109691899787804
"SP025",-0.119172766626836,0.289243307641953,2.76554000609649,0.191201583322288
"SP026",-0.0199368682175183,-0.0289047030367216,3.91070481837004,0.109671301664142
"SP027",0.1689155674826,0.198005617540103,3.30757310421435,0.293032904517733
"SP028",0.389275690438003,0.0180819883621756,5.06509541026482,-0.0726651985325203
"SP029",-0.416116574644134,-0.0699722485099535,3.7045591465814,0.0994942728490466
"SP030",-0.0215353995185434,0.0930228641221739,3.3985487719005,0.00815823011396217
"SP031",0.390148122021322,0.462336447955156,1.76097641974089,0.0720836096109796
"SP032",0.72596970772023,1.06823638347129,2.34770665539618,0.442433296882081
"SP033",0.0975264900699065,-0.0998513576367562,3.44769523237916,-0.393374985133729
"SP034",-0.870743883293348,0.0376718667997262,3.58732979007804,-0.22012643225753
"SP035",-0.540878370644739,-0.327664403626084,5.65377709945512,-0.233896156690697
"SP036",0.0543094448973568,0.134706966698537,3.32473242718195,0.0857827476205104
"SP037",-0.226165675034448,-0.123820817199579,2.47107530801207,0.43583563377613
"SP038",0.0953453984771709,-0.519091126246351,3.4179039581491,-0.414708317690789
"SP039",0.0722858129351079,0.078263994602677,2.75808115109155,-0.263215485850722
"SP040",-0.177825194531035,0.195582604044942,2.35557293719962,0.1006683708889
"SP041",-0.899543864294167,0.150801221176134,2.56681583804826,-0.185275780602583
"SP042",0.559510666267482,0.174871281158109,3.28191798443383,0.754837601040642
"SP043",0.0961912294716603,-0.0435659247067045,3.30029527691657,0.162756385144741
"SP044",-0.43435637342927,0.281341659620264,2.01188295489887,0.072247213347442
"SP045",0.138615477726137,0.145862737025696,2.36214201287525,0.268962656597457
"SP046",-0.0650119355882211,0.0328079793481598,2.23228775903795,-0.0816783449251955
"SP047",-0.291046645311267,-0.49986741697676,3.84117422001762,-0.122478352425594
"SP048",0.855701291928982,0.305704199581008,3.74885917326097,0.40816094047479
"SP049",-0.447471261233725,-0.587363356972656,3.64762211470221,-0.61538032119762
"SP050",0.167617484724621,-0.185663177586187,2.9989291091546,-0.0881048505370799
"SP051",-0.130696607042891,0.220876603930463,3.32012573734022,0.000538616541415152
"SP052",0.164383605124283,-0.290681895994745,3.29213767658158,-0.0735886060771058
"SP053",-0.510821247293038,-0.312663052082264,3.85850393409023,-0.583271214372025
"SP054",0.39472393776884,0.00892156801920314,3.39546597627663,0.247506114967975
"SP055",-0.0626540788102452,0.410566485604285,0.828267356831383,0.105863456559804
"SP056",-0.327158092364776,0.581510501771765,3.06747300325652,0.0282076980941847
"SP057",0.19222737933546,-0.141326357629706,3.14469697810043,-0.16622274968432
"SP058",-0.229147842648965,-0.178720144486634,3.85715981631511,-0.132704960141761
"SP059",0.45631908852046,-0.00499934010060009,3.29748486446866,0.211967317287168
"SP060",-0.373697713992189,-0.215820304712545,3.2476934791546,-0.289515112517215
"SP061",0.728649431225399,-0.0683604308688987,3.20348545856907,0.181296303351674
"SP062",0.143746502529207,-0.0887331300157324,3.78423430685988,0.241033379884252
"SP063",0.169616574184201,0.332636080768387,3.41854161034987,-0.558380880004582
"SP064",-0.168639778771231,-0.211915433814289,3.40222869879789,-0.200214125655492
"SP065",-0.0894757415721849,0.0790801497180325,2.01272551307623,0.119939373312704
"SP066",-0.11450239887002,1.07374975922716,2.36314200137994,0.887299850044511
"SP067",0.079764058854547,0.657767902975065,1.04616008768655,0.0277240809158983
"SP068",0.677419919706353,0.593150234211169,1.58840311105273,0.269797055338514
"SP069",-0.595843615403031,-0.284814336787846,2.91400627480684,-0.410331068835355
"SP070",0.0684922879100203,0.137900240879442,2.3430623887819,0.232803129370674
"SP071",0.676077582124379,0.471276702639327,2.26533354758246,0.263845647702143
"SP072",0.205558475040202,-0.787616973755992,4.92705777468546,-0.288188297801805
"SP073",-0.520436521682316,-0.289499622205563,4.66510166736249,-0.205730100230359
"SP074",-0.311897475549707,-1.06324855587562,3.75011150991718,-0.258879183967445
"SP075",0.513568141878098,-0.353189035397939,3.4821222850237,0.136656835012687
"SP076",-0.393814528659515,-0.715468193759817,6.29587334547917,-0.264820030268209
"SP077",0.476681868839528,-0.223745985084479,2.84535245198061,0.590354557548889
"SP078",-0.210468827486663,0.0895270610279868,2.43751514134231,-0.224105662406605
"SP079",-0.270713128937978,-0.285285020568604,3.60231888961911,0.091114632779103
"SP080",-0.174074513346743,0.232618168721855,1.62750938903111,0.253336332796559
"SP081",-0.477833458975721,0.19755842140488,2.75804018451067,-0.0630909860071464
"SP082",-0.364129651021944,-0.140140892377147,3.57233062799015,-0.177624519664183
"SP083",-0.480073950410038,-0.725233826704059,4.57848748699553,-0.0792911782932196
"SP084",-0.466930743830524,-0.477998823748807,3.32223665693277,0.315666725458545
"SP085",-0.108225463503813,0.615215635534042,1.80535708129823,-0.503873795721893
"SP086",0.265929902576182,-0.738596456991079,3.67001207642992,-0.238526297531515
"SP087",-0.805333310331646,-0.679170177440413,4.12523936308101,-0.715605954316191
"SP088",0.68873830741383,0.252896339422643,2.46452312918216,0.375594921136523
"SP089",-0.876111466943046,-0.356935510817853,4.82019732639976,-0.323520892541429
"SP090",-0.18023390452326,-0.263397116892171,3.58217591137798,0.0465416636499576
"SP091",0.319686468441912,0.860269982404423,1.1823267231641,1.01987048547565
"SP092",-0.337440126678603,-0.398412214126797,4.63988080799875,-0.725145070341901
"SP093",-0.302179354071648,-0.0186288682670566,2.08454236843756,-0.380481417524871
"SP094",0.24680391556849,-0.0333985367593863,2.11616188569132,0.428879954235469
"SP095",0.0496572590462123,0.703534016905994,2.25696162749189,0.158170748160229
"SP096",-0.816728798500446,-0.385536379870543,4.64171180637296,-0.304353664413824
"SP097",-0.204179460570354,0.0136585149246652,2.64140089242785,0.240929729122056
"SP098",0.456384404228951,0.0447412296283745,2.30246773866254,0.3076087025724
"SP099",0.121751069641815,-0.164154382776087,2.11525240826473,0.195005688496636
"SP100",0.968451430070097,0.44808884881278,2.25891505275532,1.00273520255597
"SP101",-0.578894282532392,-0.241643233094354,4.08219170837789,-0.11493451132698
"SP102",-0.600607902187585,0.211633394569576,2.407934670017,-0.366457950555774
"SP103",0.0371439042968964,-0.29338289300084,4.07573776927744,-0.318935954820307
"SP104",-0.104105514412533,0.25371127473721,4.16500419362295,-0.0413890906326593
"SP105",-0.072242495877077,-0.546730112713479,3.62259880324525,-0.420780052548575
"SP106",-0.520644456590133,-0.871874579362869,4.38386093107684,-0.335425298437418
"SP107",-0.43343345303306,0.113028611954529,3.11559380337797,0.155551234656538
"SP108",-0.500877811970862,-0.474338593492875,3.66466000162914,-0.770829279191405
"SP109",-0.245089255449435,0.0859129203135987,2.94673822899546,0.212967316501013
"SP110",0.523362280546865,0.262302799574054,4.4088637681601,0.259537787224029
"SP111",-0.223964736579021,0.0886613737400632,4.56830061505853,-0.305639996301222
"SP112",-0.636043120279244,-0.115407939883239,4.01356255372549,-0.559884476709642
"SP113",-0.60295109463583,-1.08794771306987,4.46980116505847,-0.889591712273494
"SP114",0.0546216233153975,0.288651831215072,3.15842752420629,0.323965034470183
"SP115",-0.386688332140755,0.688573322550617,3.66333969994632,0.528630475461341
"SP116",-0.487269765901858,-0.268664460550553,4.32232187831361,-0.489045182362239
"SP117",0.312533412722668,0.102683486961064,2.45858681677157,0.747578787720626
"SP118",0.30808271579064,0.49762481700687,3.37814661452025,0.0549966967262322
"SP119",0.055851802127764,0.379579109281188,4.12539720625314,0.426872826556968
"SP120",-0.542589374664462,-0.681301343353097,5.78177684936141,-0.447501218653431
"SP121",0.0235300329245879,-0.276521167710936,2.5669014973331,0.268150860484131
"SP122",0.223216739272518,-0.00906876452036781,2.02135042628602,-0.0979684047784213
"SP123",-0.266859238397319,-0.145687979596813,4.14951225195958,-0.223065901333463
"SP124",0.463394139978778,-0.179510275964753,3.71929859214503,0.60138159773177
"SP125",-0.527139005557299,-0.359814963462293,3.7382490415456,-0.260672688970012
"SP126",-0.284253600094897,-0.386261787451345,3.17959204329735,-0.399881324724758
"SP127",0.859510389972099,-0.0574517385814773,4.10817423280714,0.338879797004349
"SP128",-0.97564911125145,-0.629079838712311,2.69086001570559,-0.779570550486395
"SP129",0.594214294211511,0.8121930671651,1.25023039358202,0.868791261201685
"SP130",0.359196035421556,0.550719935197936,1.83966272025178,-0.177194238925286
"SP131",-0.331520006264099,-0.69478270128681,4.9514728052676,-0.944818932501413
"SP132",0.282940977348389,0.506636311643027,2.18691918055011,0.202587449776902
"SP133",0.379839201338006,-0.354813402933832,4.53087021956117,0.118951814200655
"SP134",-0.167296993882033,-0.0758626656157604,2.87696986088513,-0.124365132840107
"SP135",-0.354307177972915,-0.348381730442876,2.84472736368411,-0.275436957362784
"SP136",0.159763370265043,-0.313347999480534,2.46983067828118,-0.318674580169765
"SP137",0.108295372237994,0.200065449536747,1.5617152505545,0.294393652974013
"SP138",0.157237424893271,0.57796763942271,3.03989678931115,0.465706427192285
"SP139",0.402301541684564,0.801349143289095,1.37647469076393,0.717784296193804
"SP140",0.968258273844656,0.190282069311766,3.73627541488835,1.03668878844733
"SP141",0.853482571299068,0.743594499126219,1.22415892069169,0.865577241820236
"SP142",0.121389905409995,0.347492120146545,3.13867933707659,0.157786813823792
"SP143",0.418925420261327,0.268675079294809,2.8662050245621,0.389448742808586
"SP144",0.183237267339336,0.867045191337354,3.66421799554897,0.373526501390652
"SP145",-0.888404627305101,-0.775711984165681,4.6247860147036,-0.854086201769019
"SP146",1.25735593892618,0.368762279285069,2.76056864559152,0.522470974105721
"SP147",0.11822894146091,0.561423315141394,2.16719417904698,0.50606277546646
"SP148",0.297528367055245,-0.26477694251002,4.06993214382542,-0.139149880626897
"SP149",-0.121518502308418,0.325539405274302,3.6147013291476,0.389855123225409
"SP150",0.570546222141431,-0.366284634502917,3.49343115329355,0.277197649456617
"SP151",-1.01315060258197,0.0722618817149025,4.03845052588409,-0.870064316589715
"SP152",0.878236500742852,0.670518570927728,2.21767549183802,0.427814811941007
"SP153",0.300826050134335,-0.439074277460286,4.3703429224835,0.310635922805038
"SP154",0.00939350762279573,0.139161416899212,2.74328147938522,0.209906917651476
"SP155",-0.450959126473614,0.372423858007089,4.0114839200148,-0.313317324643906
"SP156",-0.438617743285137,-0.390647760473525,4.29007714774453,-0.590466336705106
"SP157",0.658511063765905,-0.0991375889171945,3.41761215217173,0.185870286185562
"SP158",-0.186654631873053,-0.765574169483904,3.86283981197367,-0.531758762401439
"SP159",1.02281539149943,0.559848662572968,1.43728177565107,0.701796719518644
"SP160",0.251650266414926,0.192333920780414,2.8476394991972,-0.0443692646520297
"SP161",0.339203057674277,-0.238540008440782,3.0005536193416,-0.125814089321524
"SP162",0.200942060734475,0.0323807074647688,2.87010299918168,0.181181118465908
"SP163",-0.516868095715493,-0.451599842034621,3.51179885679769,-0.281655248585679
"SP164",0.157820063712901,0.396795268268141,4.15099760989649,0.193590642767116
"SP165",-0.0162129845351057,0.281822981683796,3.43287102087769,-0.183550782147014
"SP166",0.679444296119335,0.349286404008377,2.75408103776013,0.520623541882851
"SP167",0.848501692927181,0.12478133049811,2.71581165081189,0.685744193379145
"SP168",-0.00178593095268638,-0.0487917845343736,4.31889261386224,0.0051526367967895
"SP169",0.390481056843499,0.161001936241895,3.08897566522885,0.428718411779527
"SP170",0.625567685636807,-0.863913389521699,4.34330662166549,-0.20053182994666
"SP171",0.217340883885876,1.03154342653606,2.64529680993606,0.753030074229324
"SP172",-0.237785685697909,0.691661934671629,1.98526332047088,0.388213998895923
"SP173",0.555552276944611,-0.0736956592354458,4.16980397658322,0.0109666900409792
"SP174",0.388342885409629,0.0538677206688188,2.71909214533752,0.0159751629558775
"SP175",0.22067738038092,-0.25068615579032,4.95266225492025,-0.46897793210414
"SP176",-0.865967713678432,-0.10275009439567,3.34375023820972,-0.727150679420073
"SP177",-0.48591162721572,0.228613812385643,3.09984454037889,-0.22940225598432
"SP178",0.342627190894737,-0.476845237541132,3.18674333982765,-0.0438844548928848
"SP179",0.324288118673239,0.964042500894536,2.61005746624579,0.798562286197488
"SP180",0.153794726391329,-0.28557561497375,1.79188920556739,0.216823915891008
"SP181",-0.168378289283721,0.350680169069515,3.93777397020841,0.054086667444267
"SP182",0.401187930293297,-0.313042977281524,3.88957968861262,0.0467370342543126
"SP183",0.166865065579878,0.607557582184422,1.16446928865792,1.03305004702601
"SP184",0.277700374793751,-0.0691584787737141,4.23650706237938,-0.730068234619855
"SP185",0.602582620022394,0.147115250774831,3.96870219324819,0.292831255852709
"SP186",-0.151912263819943,-0.464183079484339,3.53383582621704,-0.249694832061742
"SP187",-0.341697155220942,-0.2038798799572,3.3558478088768,-0.358302229544371
"SP188",-0.189310601748457,-0.330958135759372,2.57903334311815,0.254709284675115
"SP189",0.52772842937311,0.117616905547166,0.56159428188917,0.323947490993952
"SP190",-0.803859898274325,-0.203140487320253,3.04852092371104,-0.171332761094404
"SP191",0.477186778256147,0.146975033307335,2.18119181306965,-0.142829781112658
"SP192",0.456308947726815,-0.372961797422582,1.91478848562998,-0.471387893888016
"SP193",0.901572545990606,0.222587710265939,2.66153244923801,0.279576950845676
"SP194",-0.0786644833187891,0.419020308368769,2.8554202352117,0.748061571493146
"SP195",-0.296336599702582,-0.585009082295511,4.56945543386099,-0.494914604833931
"SP196",0.477742440989314,0.503198846387365,2.841366277652,0.718779105607624
"SP197",-0.120762031736312,0.278978951966492,3.3326834166018,0.111405361302956
"SP198",-0.177352999569818,-0.29546312132446,4.34382583337888,0.0796296794617023
"SP199",0.01796537505513,0.190623344090733,3.95020589781515,0.191539022402059
"SP200",-0.0287137954807846,0.298713259449695,3.18295083244643,0.0784912344880219
"SP201",0.0734744131711263,-0.163647462378949,2.46505558495401,-0.507016298285792
